Rank,company,revenue,employee,URL
290,L3 Technologies,"$10,841.00 ","31,000",https://www.indeed.com/cmp/L3-Technologies
291,NRG Energy,"$10,797.00 ","4,862",https://www.indeed.com/cmp/Nrg-Energy
292,Live Nation Entertainment,"$10,787.80 ","16,000",https://www.indeed.com/cmp/Live-Nation
293,Universal Health Services,"$10,772.30 ","75,650",https://www.indeed.com/cmp/Universal-Health-Services-Inc.
294,Molson Coors Brewing,"$10,769.60 ","17,750",https://www.indeed.com/cmp/Molson-Coors-Brewing-Company
295,eBay,"$10,746.00 ","14,000",https://www.indeed.com/cmp/Ebay-Inc.
296,AES,"$10,736.00 ","9,000",https://www.indeed.com/cmp/AES-Corporation
297,Devon Energy,"$10,734.00 ","2,880",https://www.indeed.com/cmp/Devon-Energy
298,Pacific Life,"$10,699.00 ","3,776",https://www.indeed.com/cmp/Pacific-Life
299,CenterPoint Energy,"$10,589.00 ","7,977",https://www.indeed.com/cmp/Centerpoint-Energy
300,Discovery,"$10,553.00 ","9,000",https://www.indeed.com/cmp/Discovery-Communications
301,BorgWarner,"$10,529.60 ","30,000",https://www.indeed.com/cmp/Borgwarner
302,Targa Resources,"$10,484.00 ","2,460",https://www.indeed.com/cmp/Targa-Resources
303,Ally Financial,"$10,466.00 ","8,200",https://www.indeed.com/cmp/Ally-Financial
